time	V(n001)	V(n002)
2.531500833964618e-002	0.000000e+000	3.658930e+000
2.540884306292054e-002	0.000000e+000	3.489290e+000
2.606572621880713e-002	0.000000e+000	2.470261e+000
2.684795070905751e-002	0.000000e+000	1.598009e+000
2.756563316582826e-002	0.000000e+000	1.060323e+000
2.825098402297080e-002	0.000000e+000	7.192563e-001
2.892456153780660e-002	0.000000e+000	4.925258e-001
2.961546138024782e-002	0.000000e+000	3.342545e-001
3.030350168268164e-002	0.000000e+000	2.269932e-001
3.099622818511799e-002	0.000000e+000	1.537386e-001
3.168295479489840e-002	0.000000e+000	1.044579e-001
3.181803214143501e-002	0.000000e+000	9.602182e-002
3.195310948797162e-002	0.000000e+000	8.824723e-002
3.208818683450822e-002	0.000000e+000	8.113410e-002
3.222326418104483e-002	0.000000e+000	7.468244e-002
3.235834152758144e-002	0.000000e+000	6.889225e-002
3.249341887411805e-002	0.000000e+000	6.376351e-002
3.262849622065465e-002	0.000000e+000	5.929624e-002
3.281897732392997e-002	0.000000e+000	5.329612e-002
3.300000000000000e-002	0.000000e+000	4.818160e-002
3.300014285714286e-002	7.142857e-001	4.821337e-002
3.300028571428572e-002	1.428571e+000	4.829947e-002
3.300042857142858e-002	2.142857e+000	4.843988e-002
3.300057142857143e-002	2.857143e+000	4.863462e-002
3.300071428571429e-002	3.571429e+000	4.888369e-002
3.300085714285714e-002	4.285714e+000	4.918708e-002
3.300100000000000e-002	5.000000e+000	4.954480e-002
3.303101810633206e-002	5.000000e+000	1.311836e-001
3.306103621266412e-002	5.000000e+000	2.112391e-001
3.309105431899618e-002	5.000000e+000	2.897115e-001
3.312107242532823e-002	5.000000e+000	3.666007e-001
3.315109053166029e-002	5.000000e+000	4.419067e-001
3.318110863799235e-002	5.000000e+000	5.156296e-001
3.321112674432441e-002	5.000000e+000	5.877692e-001
3.342127914201767e-002	5.000000e+000	1.055589e+000
3.384158393740420e-002	5.000000e+000	1.835372e+000
3.452099461743468e-002	5.000000e+000	2.800038e+000
3.526813470899230e-002	5.000000e+000	3.536747e+000
3.620390023796477e-002	5.000000e+000	4.122305e+000
3.720390023796477e-002	5.000000e+000	4.500566e+000
3.820390023796477e-002	5.000000e+000	4.717711e+000
3.920390023796477e-002	5.000000e+000	4.840446e+000
4.020390023796477e-002	5.000000e+000	4.916362e+000
4.034519952407046e-002	5.000000e+000	4.922957e+000
4.053359857221137e-002	5.000000e+000	4.930350e+000
4.063608449046689e-002	5.000000e+000	4.934287e+000
4.073857040872241e-002	5.000000e+000	4.938014e+000
4.084105632697793e-002	5.000000e+000	4.941534e+000
4.094354224523344e-002	5.000000e+000	4.944844e+000
4.104602816348896e-002	5.000000e+000	4.947946e+000
4.114851408174448e-002	5.000000e+000	4.950840e+000
4.125100000000000e-002	5.000000e+000	4.953525e+000
4.125200000000000e-002	0.000000e+000	4.952148e+000
4.134561714285659e-002	0.000000e+000	4.704382e+000
4.143923428571318e-002	0.000000e+000	4.469676e+000
4.153285142856977e-002	0.000000e+000	4.248028e+000
4.162646857142635e-002	0.000000e+000	4.039439e+000
4.172008571428294e-002	0.000000e+000	3.843909e+000
4.181370285713953e-002	0.000000e+000	3.661437e+000
4.190731999999611e-002	0.000000e+000	3.492025e+000
4.256267999999222e-002	0.000000e+000	2.474353e+000
4.334580737154151e-002	0.000000e+000	1.600001e+000
4.406309279964696e-002	0.000000e+000	1.061840e+000
4.474898682636491e-002	0.000000e+000	7.200712e-001
4.542210877217848e-002	0.000000e+000	4.931985e-001
4.611334907711864e-002	0.000000e+000	3.346533e-001
4.680108771392424e-002	0.000000e+000	2.272997e-001
4.749407750779144e-002	0.000000e+000	1.539253e-001
4.818059038027110e-002	0.000000e+000	1.045962e-001
4.831569374761347e-002	0.000000e+000	9.614731e-002
4.845079711495584e-002	0.000000e+000	8.836112e-002
4.858590048229821e-002	0.000000e+000	8.123760e-002
4.872100384964058e-002	0.000000e+000	7.477673e-002
4.885610721698295e-002	0.000000e+000	6.897853e-002
4.899121058432532e-002	0.000000e+000	6.384298e-002
4.912631395166769e-002	0.000000e+000	5.937009e-002
4.930588371000816e-002	0.000000e+000	5.368312e-002
4.950000000000000e-002	0.000000e+000	4.818211e-002
4.950014285714286e-002	7.142857e-001	4.822213e-002
4.950028571428572e-002	1.428571e+000	4.831389e-002
4.950042857142858e-002	2.142857e+000	4.845737e-002
4.950057142857143e-002	2.857143e+000	4.865260e-002
4.950071428571429e-002	3.571429e+000	4.889955e-002
4.950085714285715e-002	4.285714e+000	4.919825e-002
4.950100000000000e-002	5.000000e+000	4.954867e-002
4.953096967149932e-002	5.000000e+000	1.310572e-001
4.956093934299864e-002	5.000000e+000	2.109875e-001
4.959090901449796e-002	5.000000e+000	2.893394e-001
4.962087868599728e-002	5.000000e+000	3.661131e-001
4.965084835749660e-002	5.000000e+000	4.413085e-001
4.968081802899592e-002	5.000000e+000	5.149256e-001
